Datum;A1;A1SSM;A2;A2SSM;A3;A4;A4SSM;B1;B1EINZELN;B1.HN;B1.E;B5;B5.E;B5.HN;B6;B6SSM;B6.1;B6.1STANGE;B7;B8;B9;C1;C1.E;C3;C3ALT;C5;C7;C7a;C7.E;C7SSM;D2;D5;D6;D6.1;D6.1SSM;D6.E;D7;D7.HIT;E1;E2;E3;E5;F1;F2;F2SSM;F2.1;F2.E;F3;F4;F6;F6SSM;G1;G5;H2;H1;H7;H11;J1;J2.1;J3WEG;J4.1;J5;J9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39436;0;0;0;0;86;110;0;0;0;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;76;0;0;0;0;0;0;0;0;124;0;64;60;0;0;0;160;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39513;0;0;0;0;106;144;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;88;0;0;0;0;0;0;0;0;132;0;76;72;0;0;0;186;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39517;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;120;0;240;0;0;0;0;0;0;0;0;0;0;0;0;200;0;80;0;0;0;76;76;0;0;0;186;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39584;0;0;0;0;0;174;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;126;0;258;0;0;0;0;0;0;0;0;0;0;0;0;226;0;92;0;0;0;88;66;0;0;0;198;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39589;0;0;0;0;100;0;0;180;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;110;0;0;0;0;0;0;0;70;0;0;0;0;0;60;0;0;0;66;0;0;0;120;0;0;0;0;0;26;0;0;0;0;70;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39690;0;0;0;0;116;0;0;192;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;144;0;0;0;0;0;0;0;85;0;0;0;0;0;60;0;0;0;74;0;0;0;154;0;0;0;0;0;34;0;0;0;0;50;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39770;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;40;0;0;64;0;0;50;0;178;0;0;0;0;0;0;0;0;0;0;40;0;60;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39843;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;56;0;0;76;0;0;70;0;178;0;0;0;0;0;0;0;0;0;0;50;0;80;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39847;0;0;80;0;90;150;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;44;76;0;0;70;0;178;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39944;0;0;102;0;92;176;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;52;80;0;0;80;0;186;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39952;0;0;108;0;0;170;0;180;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;110;140;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40108;0;0;118;0;0;176;0;166;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;122;156;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40113;0;0;118;0;0;176;0;166;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;122;156;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
